Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir
MERCEDES,Classe C 2003,200 Kompressor,58.000 DH,2003.0,Seconde,141.000 km,Essence,Manuelle,11 cv,Gris,Très bon,manuelle,Electrique AV/AR,non,oui,non,non,oui,oui,oui,non,oui,non,non,oui,non,non,oui,non,non,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe A 2017,220 d DCT AMG line,300.000 DH,2017.0,Seconde,50.000 km,Diesel,Automatique,9 cv,Blanc,Comme neuve,auto.,Electrique AV/AR,Conducteur,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe A 2018,160 d DCT Style,220.000 DH,2018.0,Première,29.000 km,Diesel,Automatique,6 cv,Noir,Comme neuve,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 1997,Autre version,60.000 DH,1997.0,Seconde,300.000 km,Diesel,Manuelle,9 cv,Autre couleur,Excellent,manuelle,-,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,oui,non,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2010,220 d AMG line,175.000 DH,2010.0,Seconde,190.000 km,Diesel,Automatique,9 cv,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe B 2015,180 d BVA Urban,185.000 DH,2015.0,Première,148.000 km,Diesel,Automatique,6 cv,Noir,Excellent,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe A 2013,180 d,185.000 DH,2013.0,Seconde,128.000 km,Diesel,Automatique,7 cv,Gris clair,Excellent,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2012,350 d DCT,900.000 DH,2012.0,Seconde,138.000 km,Diesel,Automatique,12 cv,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,190 1988,Autre version,35.000 DH,1988.0,Seconde,400.000 km,Diesel,Manuelle,8 cv,Bleu,Bon,non,-,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,non,non,non,non,,,,,,
MERCEDES,Classe C 2011,220 CDI BlueEfficiency Classic,220.000 DH VENDUE,2011.0,Seconde,82.490 km,Diesel,Manuelle,9 cv,Noir,Excellent,manuelle,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2008,220 CDI,135.000 DH,2008.0,Première,200.000 km,Diesel,Automatique,9 cv,Noir,Bon,auto. Bi-zone,Electrique AV/AR,Conducteur,oui,non,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe A 2011,Autre version,83.000 DH,2011.0,Première,116.000 km,Essence,Automatique,8 cv,Blanc,Très bon,manuelle,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2007,220 d,142.000 DH,2007.0,Seconde,190.000 km,Diesel,Automatique,8 cv,Noir,Excellent,non,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,non,oui,non,non,non,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,non,,,,,,
MERCEDES,Classe B 2013,180 CDI Pack Sport,166.000 DH VENDUE,2013.0,Première,194.519 km,Diesel,Automatique,7 cv,Noir,Excellent,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2010,350 d DCT Avantgarde,160.000 DH,2010.0,Première,140.000 km,Diesel,Automatique,12 cv,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2011,200 CDI Classic,150.000 DH,2011.0,Seconde,180.000 km,Diesel,Manuelle,9 cv,Noir,Excellent,auto.,-,non,oui,non,oui,oui,oui,oui,non,oui,non,non,non,non,oui,oui,non,non,non,Rigide,oui,oui,oui,non,,,,,,
MERCEDES,Classe A 2000,160 CDI Classic,40.000 DH VENDUE,2000.0,Seconde,100.000 km,Diesel,Automatique,7 cv,Gris,Correct,non,Electrique AV,non,non,non,non,non,non,non,non,oui,non,non,oui,non,non,oui,non,non,non,Rigide,oui,oui,non,non,,,,,,
MERCEDES,Classe A 2017,180 d Style,225.000 DH,2017.0,Seconde,77.000 km,Diesel,Automatique,6 cv,Noir,Comme neuve,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2012,350 BlueEfficiency Elegance,170.000 DH VENDUE,2012.0,Seconde,125.747 km,Diesel,Automatique,12 cv,Noir,Très bon,auto.,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,non,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C Coupé 2018,220 d DCT AMG line +,500.000 DH,2018.0,Première,57.000 km,Diesel,Automatique,9 cv,Blanc,Comme neuve,auto. Bi-zone,Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2008,350 CDI Elegance,170.500 DH,2008.0,Seconde,140.000 km,Diesel,Manuelle,12 cv,Noir,Excellent,auto.,Electrique AV/AR,Tous les passagers,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,oui,oui,non,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2017,220 d Avantgarde,330.000 DH VENDUE,2017.0,Première,80.497 km,Diesel,Automatique,8 cv,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2007,280 CDI Classic,102.000 DH VENDUE,2007.0,Seconde,349.000 km,Diesel,Automatique,13 cv,Bleu foncé,Excellent,auto.,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2010,220 CDI,180.000 DH VENDUE,2010.0,Seconde,200.000 km,Diesel,Automatique,9 cv,Blanc,Très bon,auto.,Electrique AV/AR,non,non,non,oui,non,oui,oui,non,non,non,non,non,non,oui,oui,non,non,non,Rigide,oui,oui,non,non,,,,,,
MERCEDES,Classe C 2018,200 d Avantgarde,170.000 DH VENDUE,2018.0,Seconde,140.000 km,Diesel,Automatique,8 cv,Noir,Comme neuve,auto.,Electrique AV/AR,non,non,non,oui,oui,oui,oui,non,oui,non,non,non,non,oui,oui,non,oui,oui,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,GLK 2011,200 CDI,185.000 DH VENDUE,2011.0,Seconde,185.000 km,Diesel,Automatique,8 cv,Blanc,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,non,oui,non,non,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe A 2014,160 CDI BlueEfficiency,190.000 DH VENDUE,2014.0,Seconde,140.000 km,Diesel,Manuelle,6 cv,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,non,oui,oui,oui,oui,non,oui,non,non,non,oui,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2003,220 CDI,95.000 DH VENDUE,2003.0,Seconde,460.000 km,Diesel,Automatique,9 cv,Gris clair,Excellent,manuelle,-,non,oui,non,oui,non,non,oui,non,oui,non,non,non,oui,oui,oui,non,oui,non,Rigide,oui,oui,non,non,,,,,,
